sample,metabolite,communication_score,z_score,p_value,fdr,n_gene_pairs,Disease Label,Patient_ID,General Categorization
V11Y24-010_C,Fatty acid,14416.790384604305,51.784207086588175,0.0,0.0,21,Adjacent,106392,Normal
V11Y24-010_C,L-Glutamine,14803.281635848125,33.52675120015522,9.823967652681071e-247,1.0413405711841935e-244,120,Adjacent,106392,Normal
V11Y24-010_C,Vitamin A,7396.060283200984,32.0380954251269,1.608063401815184e-225,1.1363648039493968e-223,6,Adjacent,106392,Normal
V11Y24-010_C,Heme,7097.451261341327,30.668925789873477,7.391722937100211e-207,3.917613156663112e-205,6,Adjacent,106392,Normal
V11Y24-010_C,Sodium,13560.994882948056,29.868761691508176,2.505144090301895e-196,1.0621810942880033e-194,120,Adjacent,106392,Normal
V11Y24-010_C,Zinc,7317.099763460548,28.015066178450724,5.324418557967199e-173,1.8812945571484103e-171,78,Adjacent,106392,Normal
V11Y24-010_C,L-Serine,8444.975704577373,27.834569916726164,8.280520225977785e-171,2.5078146970104147e-169,45,Adjacent,106392,Normal
V11Y24-010_C,Iron,6810.151904699962,25.310382608544035,1.2275938558452354e-141,3.253123717989874e-140,45,Adjacent,106392,Normal
V11Y24-010_C,L-Asparagine,4254.564645792616,25.277939072973552,2.792582280937979e-141,6.578082706209462e-140,10,Adjacent,106392,Normal
V11Y24-010_C,L-Histidine,5625.6842675340395,24.90121941616753,3.608643564670796e-137,7.650324357102087e-136,21,Adjacent,106392,Normal
V11Y24-010_C,Vitamin D3,2010.2015445304285,23.601846063283,1.8447559302820936e-123,3.5553477929073073e-122,3,Adjacent,106392,Normal
V11Y24-010_C,L-Cysteine,5096.727050867481,22.918513792355807,1.5188525288244484e-116,2.6833061342565253e-115,21,Adjacent,106392,Normal
V11Y24-010_C,Taurocholic acid,5274.284714633697,21.82951877102737,6.084750328507105e-106,9.922823612642357e-105,66,Adjacent,106392,Normal
V11Y24-010_C,L-Alanine,5229.666053618906,19.66929121300603,1.9763351097676827e-86,2.992736023362491e-85,36,Adjacent,106392,Normal
V11Y24-010_C,Cholesterol,2289.692019090791,19.08114421116851,1.8112064996452746e-81,2.5598385194986548e-80,6,Adjacent,106392,Normal
V11Y24-010_C,Ethanol,575.4816967588965,18.318301636374603,2.956473469238396e-75,3.917327346740875e-74,1,Adjacent,106392,Normal
V11Y24-010_C,L-Leucine,2944.0890703225464,18.206977591824156,2.271732377544379e-74,2.832983906114167e-73,28,Adjacent,106392,Normal
V11Y24-010_C,Urea,1767.0358655430296,18.08199434328428,2.2090475134381266e-73,2.6017670713826824e-72,3,Adjacent,106392,Normal
V11Y24-010_C,O-Desmethylverapamil (D-702),2606.274594347662,16.486780883583855,2.2831944530730753e-61,2.547564337113116e-60,45,Adjacent,106392,Normal
V11Y24-010_C,Water,3857.317580222937,15.975780785535425,9.423972290032648e-58,9.989410627434606e-57,21,Adjacent,106392,Normal
V11Y24-010_C,Chloride ion,2080.1413358586155,15.668951579298264,1.2330690783759601e-55,1.2448125934081121e-54,15,Adjacent,106392,Normal
